"phase","expected_behavior","actual_behavior","pass_flag","severity","notes"
"Phase 1B","7-site / 21-sector topology","7 sites, 21 sectors","1","INFO",""
"Phase 1B","RF validation with physical RSRP/SINR and attach rate","attach=0.982, plannedCoverage=0.978067387158296","1","INFO","calc_rsrp_sinr uses RSRP matrix and RxTotal interference."
"Phase 2","Traffic and KPI engine separates attachment from QoS","attach=0.982, QoS=0.986666666666667","1","INFO",""
"Phase 3","Eight named scenarios generated","normal, low_load, overload, degraded_sector, outage_sector, low_load_energy_saving_candidate, handover_stress, mixed_conflict","1","INFO",""
"Phase 4/4B","Multi-scenario dataset and leakage-controlled feature tables","sector rows=3528; Phase4B validation errors=0","1","INFO",""
"Phase 5","Clustering monitor only, not decision maker","k=4, silhouette=0.386407202079266; main text states monitor only","1","INFO",""
"Phase 6","COD detects normal/degraded/outage and does not apply actions","validation errors=0","1","INFO",""
"Phase 7","TP/QP are support modules; QP bounded regression limitation accepted","Phase7B warnings=3, Phase7C errors=0","1","MINOR","QP warning is expected because target is close to bimodal."
"Phase 8","Candidate generation, counterfactual reward, safety-constrained oracle; no KPI(t+1)","Phase8B rows=159152; oracle rows=2594","1","INFO",""
"Phase 9","Action-value ML uses reward as target only; oracle_selected metadata only","Phase9A leakage validation errors=0; Phase9B warnings=2","1","INFO",""
"Phase 10","Safety filter removes unsafe actions; no action application","raw unsafe=188, residual fallback=45, validation errors=0","1","MINOR","Residual unsafe rows are fallback diagnostics."
"Phase 11","Offline coordinator final decision table; all rows not applied before Phase 12D","rows=499, safe=206, no-op=186, rejected=62, fallback=45","1","INFO",""
"Phase 12A","Feasibility audit only; no KPI(t+1)","implementable_now=206; validation errors=0","1","INFO","Phase12A summary shows 0 implementable before extension."
"Phase 12B","CIO association bias only; P_RS and tilt physically affect RSRP; clone integrity verified","validation errors=0","1","INFO",""
"Phase 12C","Eligible set limited to COC/OH and LB/MLB","eligible=60; modules=COC/OH, LB/MLB","1","INFO","Eligible count can drop after duplicate application-target/state-variable conflicts are rejected."
"Phase 12D","Limited one-step KPI(t)->KPI(t+1), cloned state only, duplicate-free eligible actions","applied=60, eligible=60, groups=24, skipped=0","1","INFO",""
"Phase 12D coordinator/application consistency","No duplicate executable action should modify the same simulator state variable in the same coordinator group","duplicate application target/state-variable groups=0, rows in duplicate groups=0","1","MAJOR","Uses application_affected_sector_id + application_state_variable, not source_sector_id alone."
"Phase 12E","Final one-step validation and baseline vs AI/ML vs oracle comparison; no full closed-loop claim","AI/ML rows=60, applied=60, validation warnings=1","1","INFO",""
"Phase 13 boundary","Pre-Phase-13 audit should not execute Phase 13","cfg.enablePhase13=False; last completed phase=Phase12E_final_comparison","1","BLOCKER","Phase 13 is disabled by default and the audited run stopped before packaging."
