column_name,role,intended_module,reason
temporal_sample_id,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
day_id,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
time_step,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
hour_of_day,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
scenario_name,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
realization_id,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
site_id,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
sector_id,metadata,both,"Traceability metadata only; excluded from TP/QP input matrix."
sin_hour,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
cos_hour,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
attached_ue_count,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
active_ue_count,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
mean_RSRP_dBm,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
median_RSRP_dBm,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
mean_SINR_dB,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
median_SINR_dB,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
boundary_ue_ratio,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
handover_risk_score,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
attach_rate_sector,input_feature_candidate,both,"Time, RF, or handover-risk feature candidate."
offered_traffic_Mbps_lag1,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
offered_traffic_Mbps_lag2,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
offered_traffic_Mbps_lag4,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
served_traffic_Mbps_lag1,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
served_traffic_Mbps_lag2,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
served_traffic_Mbps_lag4,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
sector_load_ratio_lag1,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
sector_load_ratio_lag2,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
sector_load_ratio_lag4,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
qos_satisfaction_ratio_lag1,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
qos_satisfaction_ratio_lag2,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
qos_satisfaction_ratio_lag4,input_feature_candidate,QP,"Lagged or current RF/QoS feature candidate."
mean_UE_throughput_Mbps_lag1,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
mean_UE_throughput_Mbps_lag2,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
mean_UE_throughput_Mbps_lag4,input_feature_candidate,TP,"Lagged or current sector traffic/load feature candidate."
next_offered_traffic_Mbps,target,both,"One-step-ahead prediction target; forbidden as input."
next_sector_load_ratio,target,both,"One-step-ahead prediction target; forbidden as input."
next_qos_satisfaction_ratio,target,both,"One-step-ahead prediction target; forbidden as input."
next_mean_UE_throughput_Mbps,target,both,"One-step-ahead prediction target; forbidden as input."
next_served_traffic_Mbps,target,both,"One-step-ahead prediction target; forbidden as input."
