"metric","before_value","after_value","pass_flag","severity","notes"
"phase13_disabled","false","True","1","INFO","last_completed_phase=Phase12E_final_comparison"
"duplicate_target_cio_groups","25","0","1","INFO","Phase 12D applied actions: coordinator_group_id + application_affected_sector_id + sectors.cio_dB."
"rows_rejected_duplicate_application_target","0","62","1","INFO","Rejected as duplicate_application_target_parameter."
"phase11b_executable_actions","266","206","1","INFO","Reduced after duplicate target/parameter rejection."
"phase12c_eligible_actions","104","60","1","INFO","COC/OH and LB/MLB only."
"phase12d_applied_actions","104","60","1","INFO","Equals Phase 12C eligible actions."
"readme_stale_issue_fixed","false","True","1","INFO","README states Phase 12E, limited one-step evaluation, Phase13 disabled, and no full closed-loop claim."
"data_leakage_issues","0","0","1","INFO","From audit_data_leakage_check.csv."
"validation_errors","0","0","1","INFO","From audit_run_status.csv."
"validation_warnings","9","9","1","INFO","Expected weak-model and attach-rate diagnostics remain."
"audit_recommendation","FIX_BEFORE_PHASE13","PROCEED_TO_PHASE13","1","INFO","Proceed means Phase13 packaging only, not new algorithms/control."
