"artifact_name","expected_path","exists_flag","phase","thesis_use","notes"
"topology map","results\figures\phase1b_topology_ue_attachment.png","1","Phase 1B","Topology and UE attachment",""
"UE distribution map","results\figures\phase1b_topology_ue_attachment.png","1","Phase 1B","UE placement over topology","Combined with topology/attachment, not a standalone UE-only map."
"RSRP map","results\figures\phase1b_best_rsrp_map.png","1","Phase 1B","RF coverage",""
"SINR map","results\figures\phase1b_best_sinr_map.png","1","Phase 1B","RF quality",""
"sector load map","results\figures\phase2_sector_load_map.png","1","Phase 2","Traffic load spatial view",""
"cluster-state map","results\figures\phase5_cluster_scenario_heatmap.png","1","Phase 5","Cluster state evidence","This is a scenario-cluster heatmap, not a geographic sector cluster map."
"COD confusion matrix","results\figures\phase6b_cod_test_confusion_matrix.png","1","Phase 6B","Classifier validation",""
"TP actual-vs-predicted","results\figures\phase7b_tp_actual_vs_predicted.png","1","Phase 7B","TP diagnostic",""
"QP bounded actual-vs-predicted","results\figures\phase7c_qp_bounded_actual_vs_predicted.png","1","Phase 7C","QP diagnostic",""
"action-value actual-vs-predicted","results\figures\phase9b_action_value_actual_vs_predicted.png","1","Phase 9B","Action-value model diagnostic",""
"safety filter plot","results\figures\phase10a_raw_vs_safe_selection.png","1","Phase 10A","Safety filter evidence",""
"coordinator final decision status","results\figures\phase11b_final_decision_status.png","1","Phase 11B","Coordinator outcomes",""
"Phase 12D pre/post KPI figure","results\figures\phase12d_pre_post_kpi_by_module.png","1","Phase 12D","One-step KPI result",""
"Phase 12E baseline vs AI/ML vs oracle figure","results\figures\phase12e_baseline_ai_oracle_kpis.png","1","Phase 12E","Final comparison",""
"Phase 12E tradeoff attach vs QoS figure","results\figures\phase12e_tradeoff_attach_vs_qos.png","1","Phase 12E","Tradeoff story",""
